pdbid,-logKd/Ki,release_year
4xtz,9.82,2015
3i9g,8.96,2009
2j34,7.82,2006
2qzr,7.26,2007
3ifl,8.08,2009
4ibf,4.43,2014
4mq6,6.47,2014
6h36,9.35,2018
5j8z,8.3,2016
5lz4,5.7,2016
2xxr,6.55,2011
1fzo,7.89,2001
5wal,8.77,2017
1njd,5.57,1996
5j41,3.7,2016
5nze,6.39,2018
1hn4,3.82,2001
1b46,5.28,1999
5u8c,7.53,2017
6plf,6.67,2019
6gnm,4.26,2018
1drj,7.4,1995
3cda,7.58,2008
5t9u,7.6,2017
1h2k,2.92,2002
2ewa,7.94,2006
6qe5,5.12,2019
5nbw,8.59,2017
5d3j,5.24,2016
3gdt,7.19,2009
1k1o,6.17,2001
6jam,5.23,2019
4jwk,8.32,2013
1my4,6.98,2003
2q89,6.3,2008
6g6t,7.7,2019
5u28,7.17,2017
5f1x,6.11,2016
1y3x,5.14,2005
3vfb,9.04,2012
1g53,9.04,2000
2y82,8.4,2011
5kly,7.21,2017
4b2l,3.24,2013
6qe0,4.6,2019
4daf,7.12,2012
5aqz,5.48,2016
5ect,5.28,2016
1qhc,7.57,1999
3l0v,7.64,2010
2exm,4.11,2005
4bf6,8.35,2014
3ikd,6.75,2009
1adl,5.36,1994
1os5,6.85,2004
2xab,9.27,2010
1uml,7.52,2004
1ghv,4.35,2002
4bao,8.37,2013
5dbm,6.46,2016
2zfp,5.17,2008
5var,4.09,2018
