pdbid,-logKd/Ki,release_year
5y13,5.94,2018
6ajy,5.28,2019
3w37,5.18,2013
6cvf,6.35,2018
6if0,6.51,2019
6g38,6.62,2018
6dpx,5.89,2018
1c4u,10.37,2000
3po1,4.02,2011
6pi5,6.96,2019
4bf6,8.35,2014
2gss,4.94,1997
1grp,3.72,1996
1tni,4.0,1994
6fs0,9.77,2018
1fd0,8.4,2002
4msc,5.96,2014
5zni,4.39,2019
3rz7,8.96,2011
6c0s,7.05,2018
3sk2,3.61,2011
4qtl,6.92,2015
3jrs,4.28,2009
4a6c,7.92,2012
2o8h,7.6,2007
4yo8,10.52,2015
4i7k,3.04,2013
5wuk,7.85,2017
3npc,8.34,2010
3p8p,4.55,2010
4zwz,8.7,2015
1xq0,6.34,2005
1bxr,3.4,1999
5ota,5.74,2017
3t8v,6.59,2011
6fe0,6.48,2018
5mpn,7.07,2018
3kek,8.36,2010
5mge,4.06,2017
4gkh,4.67,2012
4ap7,7.96,2012
3ff3,3.57,2009
6e7r,6.83,2019
4gzw,4.52,2012
1c87,4.2,2000
2xjg,7.82,2010
1y3x,5.14,2005
3be9,7.62,2008
186l,4.85,1995
2vvv,8.22,2009
5fls,3.04,2016
2yi0,8.12,2012
6hpw,6.09,2018
3v5p,8.96,2012
4b8y,8.05,2012
4det,5.68,2012
5f1h,7.85,2016
4qf7,8.6,2014
1rpj,6.48,1999
3ldp,5.62,2011
2wkz,8.77,2009
1ec1,8.92,2002
3qw5,6.45,2012
3ggu,9.77,2009
3hku,8.3,2009
5m17,3.66,2017
4cpy,6.31,2014
6hk4,8.55,2019
6i63,7.01,2019
5eij,5.31,2016
1loq,3.7,2002
5zkc,8.19,2018
2yz3,6.66,2008
3oim,6.74,2011
2wvz,4.02,2009
3s6t,7.35,2012
6gon,5.67,2018
1j37,8.96,2003
6qr2,5.49,2019
1uho,9.22,2004
4muf,6.34,2014
6hlx,7.17,2018
4z0q,8.17,2015
5xpi,5.28,2018
4ko8,7.15,2013
5mlj,8.85,2017
4e70,5.28,2013
5lyn,5.04,2017
6arm,4.97,2018
1kmy,5.1,2002
1y3n,5.55,2005
4rr6,6.0,2015
1e6q,3.15,2001
2bvr,3.7,2006
2i3h,7.4,2006
4a4v,6.54,2012
5jgq,4.62,2017
1f8b,5.4,2001
3usx,5.02,2012
4rra,4.87,2015
3aho,7.05,2010
3ijh,4.0,2009
4rd3,6.47,2015
5m5d,3.95,2017
5orv,2.89,2017
1i1e,5.03,2001
1tkb,8.0,1994
2ypi,4.82,1991
6gvf,7.55,2019
1kv5,4.22,2002
4e3g,4.97,2012
2web,5.12,1998
5fox,3.17,2016
2gvj,9.52,2006
1ndz,8.11,2003
6p88,4.52,2019
6qqq,5.17,2019
6nfh,7.15,2019
4x50,7.75,2015
1utj,3.84,2004
4yho,10.74,2016
2vnp,9.92,2008
4h7q,5.06,2013
4emf,7.08,2012
6n95,5.12,2019
1c1r,7.63,2000
3f34,3.16,2009
5xo7,6.36,2018
1xh5,5.47,2005
5ovv,4.48,2018
2qm9,7.77,2007
5ive,7.57,2016
1ydb,8.24,1995
6u8b,6.37,2019
1o5r,8.12,2004
1qb6,6.06,2000
2haw,4.92,2006
3ime,3.0,2009
2wq5,3.74,2010
2ctc,3.89,1994
5n2z,5.31,2017
5d48,7.52,2016
1i9n,8.66,2001
6qlr,4.82,2019
5ji8,4.63,2016
4ruy,7.89,2015
1njs,7.82,2003
4yml,8.35,2015
3exe,6.96,2008
1ui0,7.06,2003
2doo,7.17,2006
5o58,6.72,2017
1nl9,5.96,2003
4mss,6.4,2013
5nyh,7.73,2018
4pzv,5.7,2014
2yfa,5.07,2012
2x97,5.66,2010
1k4g,5.85,2002
3fvk,8.82,2010
4xit,7.27,2015
4cj4,3.36,2014
3r4p,7.96,2011
1qb9,7.44,2000
7std,10.72,1999
4f6u,6.15,2013
3bbf,5.28,2008
4e0x,7.12,2012
4jzi,7.4,2014
3d51,4.15,2008
4de0,5.89,2012
2r2w,4.47,2007
6cjv,5.66,2018
3q1x,5.33,2011
5ti0,4.21,2017
4mc1,7.85,2014
4m2w,7.28,2013
5jhb,6.06,2017
3g19,6.67,2009
5oht,6.02,2018
5my8,7.14,2017
5vb7,6.72,2017
5n2t,5.08,2017
6h77,7.33,2018
4zx1,6.14,2015
3s2v,6.8,2011
3bkk,6.08,2008
5fog,3.67,2016
1ucn,5.22,2003
2x8z,7.96,2010
3iqu,4.77,2010
5ev8,5.22,2016
3n0n,7.3,2011
4fxq,5.77,2012
6odz,9.15,2019
2w8j,2.96,2009
5nw0,6.52,2017
5j7w,4.89,2016
2vh6,9.7,2008
3eb1,4.79,2009
3ldq,5.36,2011
5we9,7.22,2017
5ot9,4.07,2017
6q60,5.71,2019
2pk5,10.7,2007
1nz7,7.12,2003
1avn,3.9,1997
6d78,8.74,2019
6of5,5.35,2019
3d1x,8.66,2008
1ydk,5.89,2005
4r4c,5.54,2014
2pvj,8.1,2008
6pid,4.54,2019
5n1s,7.99,2017
5yl2,4.5,2018
5h1v,4.0,2017
5otr,4.92,2018
5efj,6.46,2016
2xm1,5.07,2011
4q19,8.05,2014
3uyr,6.9,2012
3pb9,6.58,2011
4ynb,10.37,2015
4ek9,4.42,2012
4gj2,8.6,2013
3wzn,7.0,2015
4jsa,4.96,2013
3jup,5.58,2009
1rnm,3.07,1996
5nw7,5.77,2018
5j82,6.0,2017
3pgl,5.3,2011
5afv,5.59,2015
1jgl,8.7,2001
6d9x,3.49,2018
6ios,4.1,2019
2q89,6.3,2008
3aaq,3.3,2010
5c3p,4.46,2015
4xu3,9.5,2015
4lar,4.68,2013
2zz2,4.54,2009
1fzo,7.89,2001
2std,9.85,1999
2aog,6.28,2006
5efa,4.83,2015
5aa9,8.19,2016
3muz,3.46,2011
3d0b,6.54,2008
3rux,9.28,2011
5ufr,8.7,2017
4avs,3.49,2013
4cwq,7.06,2014
1f0r,7.66,2000
1lyx,4.54,2003
5dqf,3.6,2015
2xef,9.84,2010
1b3l,5.89,1998
5cbm,7.77,2015
2rkm,3.9,1997
2fqo,6.43,2006
2i0a,11.4,2006
2rcn,6.0,2008
2e27,9.35,2007
2wl0,7.8,2009
1g52,9.54,2000
1hvi,10.92,1994
3elc,2.69,2009
3mxe,10.01,2010
3zqe,4.23,2011
2fgu,9.18,2006
1k27,9.0,2003
3cyx,8.0,2008
5zg1,7.72,2019
4avj,7.44,2012
1i37,9.57,2001
1c83,4.85,2000
6eq7,7.0,2018
1stc,8.1,1998
5vcy,6.57,2017
5kva,5.14,2016
1k1m,7.4,2001
4gfo,6.62,2013
2xbp,5.02,2010
3wmc,6.51,2014
3mhw,2.3,2010
5dey,8.43,2016
3v5t,8.22,2012
4ibc,2.98,2014
1r0p,8.0,2003
1apv,9.0,1994
4qnb,6.59,2014
5eek,9.1,2016
2v59,7.74,2009
4cwf,4.49,2014
4pb2,4.8,2014
4cp5,3.34,2015
1sl3,11.85,2004
4omc,10.78,2014
4lkk,5.92,2013
1mfi,5.59,1999
6nv9,8.19,2019
2pvk,8.3,2008
5vja,6.59,2018
3a1e,2.66,2009
2avs,7.57,2006
4u0f,5.92,2014
3jzj,3.61,2010
5ula,7.11,2017
4mdn,6.22,2013
2a5s,6.7,2005
5vcv,6.82,2017
4uja,9.05,2016
3ni5,7.55,2011
1bhx,6.84,1998
4m14,6.7,2014
5n24,8.92,2017
1q65,5.46,2004
5g61,6.4,2017
2vw1,3.52,2008
1pph,5.92,1994
3mdz,9.1,2010
4ido,4.93,2013
1qxl,7.96,2004
4rn4,6.94,2015
5nxi,6.66,2018
3fvh,6.35,2009
2w8w,2.12,2009
6mj4,7.72,2019
4hdp,7.51,2013
4euo,5.05,2012
4mmp,7.71,2014
5oh2,4.24,2018
3vf7,9.1,2012
3iw5,6.08,2009
3zsy,3.23,2012
5u0d,4.54,2017
5ant,6.36,2016
3ov1,5.2,2011
4loi,6.77,2013
3v7x,8.57,2012
3d1y,8.22,2008
6pvw,6.32,2019
2wyg,8.7,2010
6nsv,7.8,2019
5n31,5.79,2017
3cm2,6.47,2008
1ew8,2.26,2002
6rnt,2.37,1993
4oiv,5.08,2015
2a4m,4.52,2005
1li3,4.25,2002
4o0y,7.22,2014
6bm6,4.68,2018
6ixd,9.8,2019
5f62,8.17,2017
6dyz,9.2,2019
4w9d,4.99,2014
2b9a,8.05,2005
4rqv,5.05,2014
4l6t,7.49,2013
1bai,7.7,1999
3nu4,8.82,2010
1f73,2.39,2000
6fgg,4.77,2018
4bck,8.4,2013
2qi5,10.85,2008
5ayt,6.77,2016
5uf0,3.8,2017
6n0j,5.37,2019
2w47,4.98,2009
4csd,5.91,2014
3i25,8.51,2010
3i5z,8.7,2010
5dgw,11.05,2015
4pg9,7.8,2015
3pju,4.88,2011
4g4p,6.89,2013
4ymh,6.46,2015
6nzv,10.17,2019
1o1s,7.31,2003
1o2o,6.36,2003
3g30,2.51,2009
5i3x,8.1,2016
6b1k,6.67,2018
2rio,4.69,2008
3l4w,6.0,2010
6b5q,8.24,2018
4h3j,7.05,2012
6qpl,7.04,2019
6qr4,6.23,2019
3n3g,7.24,2010
3gcs,7.25,2009
5er2,6.57,1991
6gwe,7.38,2019
6dz3,8.89,2019
3k1j,6.4,2010
4r76,7.85,2014
4k3n,7.96,2013
6faa,6.75,2018
1li6,3.8,2002
5ie1,6.85,2016
5o07,7.47,2017
6j0g,5.64,2019
6qrc,4.89,2019
1g46,8.8,2000
1c3x,3.68,1999
6i5g,4.89,2019
5zw6,8.0,2018
5n34,4.63,2017
3mfv,2.52,2010
3vd4,4.82,2012
1d4h,10.0,2002
3c39,3.96,2008
2qbw,7.25,2008
4tkj,6.04,2015
1igb,6.4,1996
1bgq,8.57,1999
2ccc,7.76,2006
3nyx,7.49,2010
4lm0,3.25,2014
1rpf,3.99,1994
5nea,10.3,2017
4dfg,11.74,2012
6idb,6.4,2019
5edl,8.35,2016
4ck3,3.57,2014
4x24,9.78,2015
4jfk,6.44,2013
4nnr,7.26,2014
1tmn,7.3,1989
1c84,5.0,2000
4qyy,7.3,2014
5mme,5.85,2017
4kyh,5.92,2013
1g2o,10.55,2001
2qhz,7.28,2008
4f0c,6.27,2013
6f3b,6.56,2018
5c8n,7.55,2015
3oyq,7.99,2011
1ony,6.77,2003
3ahn,7.05,2010
1m2r,6.46,2003
5k1f,4.79,2017
1str,4.77,1996
1d3p,7.39,2000
6bhv,5.23,2018
6d3q,8.47,2019
5g57,8.4,2017
3ivx,5.74,2009
3gm0,7.77,2009
6mqe,11.29,2019
2b4l,4.77,2006
4e7r,7.7,2012
3buf,3.1,2008
3c8b,6.1,2008
2isw,7.43,2006
3ebh,6.32,2009
4v01,8.11,2014
5hvs,7.15,2016
1b38,6.6,1998
3fj7,3.71,2009
6d1i,4.09,2019
8a3h,4.06,2000
3vvy,4.84,2013
10gs,6.4,1998
3zns,7.41,2013
4jal,4.6,2013
5ijr,3.2,2017
3b7r,7.7,2008
2p4s,9.51,2008
6d9s,5.96,2019
2qmg,9.15,2008
4zx0,8.0,2015
3bgc,5.02,2008
2r58,2.0,2007
6pvv,5.85,2019
5i9y,8.55,2016
1jev,6.89,1997
1qbn,5.85,2000
1p19,4.11,2004
1mfa,5.04,1994
4mrz,3.52,2014
5vsj,4.02,2017
3k2f,7.2,2009
1ur9,5.77,2004
5uoo,8.85,2017
6d50,5.05,2018
6g37,7.37,2018
1qbs,9.47,1997
3acx,5.7,2010
4m12,6.05,2014
6eis,6.6,2018
2uwp,6.81,2007
1jqy,4.92,2002
4ljh,4.71,2013
5ouh,5.67,2017
6qr9,6.72,2019
5lwd,6.24,2016
5cu4,6.49,2016
2j2u,7.33,2006
4ufl,2.64,2015
5uln,7.85,2017
4arb,5.89,2012
3gdt,7.19,2009
5nvv,6.7,2017
3fqe,8.3,2009
6mja,7.85,2019
2q63,7.18,2008
4b6r,5.85,2012
3qps,5.6,2011
6r8w,5.92,2019
4ibb,3.57,2014
4kcx,4.43,2013
3pcn,3.66,1998
6h38,8.11,2018
1xd0,7.12,2004
4qdk,5.85,2014
1pfu,2.72,2004
2fmb,8.7,1999
4ad6,4.78,2013
3lzu,10.06,2010
4b73,7.21,2012
1lkk,6.85,1996
4elg,8.16,2013
6sbt,6.78,2019
4y59,5.24,2015
4z84,5.82,2015
4o2b,5.74,2014
6dh2,10.89,2018
4x5q,9.0,2015
4lm4,3.04,2014
4r5t,6.1,2014
1ro6,6.46,2004
1n51,4.85,2003
3t3u,8.6,2012
1c5x,6.68,2000
4w52,3.76,2015
4dv8,9.24,2012
3d8z,3.37,2009
3u92,7.48,2012
6ey8,5.81,2018
3pcf,6.05,1998
3vha,7.4,2012
2w26,9.4,2008
5b5g,5.25,2017
5evd,5.0,2016
5orh,4.39,2018
2r75,6.15,2008
5mpk,8.52,2018
3ryz,8.62,2011
5yz2,4.95,2018
4omk,4.4,2015
4nj9,6.97,2014
3oy0,8.0,2011
5upf,8.6,2017
4g8m,7.89,2012
3l3n,8.18,2010
5y94,6.79,2018
6qr0,6.92,2019
3ljz,8.14,2011
4av4,7.03,2012
4b5t,3.33,2012
5l7g,7.8,2016
4dsu,2.82,2012
3nkk,4.7,2010
2sim,3.42,1994
2xc4,8.05,2010
6g2s,8.4,2019
6h8s,4.42,2018
5ep7,5.4,2016
1ai4,2.5,1997
1o2h,7.17,2003
2zfp,5.17,2008
5fnr,4.23,2016
4l19,6.1,2014
1sln,6.64,1996
4w9f,5.49,2014
1zfq,7.52,2006
6fhu,2.64,2018
6fyz,7.41,2018
4z1j,8.11,2015
1k6p,7.36,2002
5tb6,5.82,2016
3bgb,6.05,2008
5d26,6.09,2016
5gmh,6.31,2016
2nnd,6.06,2007
3t0b,4.3,2012
1kug,3.8,2002
4egk,7.72,2012
4hu1,7.54,2013
3v78,5.54,2012
2zdm,6.41,2008
2vvu,8.1,2009
4kp5,6.08,2013
1v7a,8.01,2004
4alx,7.28,2012
3pwd,6.66,2011
3tfn,6.57,2012
2vfk,3.71,2008
2p2a,6.12,2007
4lov,7.77,2014
5d3x,6.36,2016
6mlo,6.1,2019
2rkg,8.09,2008
3m3x,6.82,2010
5lif,5.87,2016
5a2i,5.06,2015
5l9o,5.4,2016
2baj,8.4,2005
2vmf,5.85,2008
1duv,11.8,2000
2wyj,9.0,2010
5f25,5.04,2016
5oha,4.89,2018
2hah,8.0,2007
2uxi,7.3,2007
4yes,8.02,2015
1pz5,5.4,2003
456c,9.77,1999
6ajv,5.04,2019
5ueu,7.78,2017
4cst,8.89,2015
4e4l,8.77,2012
2oym,5.0,2007
6f05,4.47,2018
4l4v,5.78,2013
6g25,3.52,2019
4lvt,10.36,2013
2vwo,7.51,2009
4des,5.85,2012
3fql,7.15,2009
6dh1,10.58,2018
6b4l,6.47,2017
4ggz,10.18,2013
4nbn,4.36,2013
4ipn,3.39,2013
4d1j,6.31,2014
5msb,7.46,2018
5w1e,5.24,2017
3d91,9.15,2008
4gq4,7.66,2012
4u69,4.26,2015
1trd,5.4,1993
2bal,6.31,2005
2gvv,3.9,2006
6qge,5.68,2019
4aqh,6.54,2012
6i67,6.7,2019
6f20,4.31,2018
2q8m,4.03,2007
1hmr,6.55,1995
4nkt,5.97,2013
4b35,2.89,2013
5ipc,4.89,2017
6gjl,3.86,2018
1lpz,7.6,2003
3p8o,8.72,2011
6im4,7.4,2019
1pr5,3.92,2003
2qtg,5.08,2008
2v3d,3.94,2007
4xtx,10.57,2015
5ef7,9.0,2016
2gsu,3.59,2006
6g35,7.76,2018
5g17,6.7,2017
3n2u,7.84,2010
1q72,6.85,2003
4ghi,7.09,2013
1izi,6.59,2002
4r73,7.64,2015
4wt2,10.42,2014
3hu3,6.89,2010
1yc4,6.55,2005
2ya6,5.7,2011
1lcp,6.64,1995
6bbx,6.67,2018
5n6s,8.09,2017
3znr,7.44,2013
3fas,6.77,2008
5d3t,4.92,2016
3lp7,5.44,2010
4ruz,7.64,2015
5g5v,6.7,2018
3t60,6.7,2012
2glp,5.01,2007
3c84,7.85,2008
5ny1,6.44,2018
5e89,7.85,2016
2cbu,5.68,2006
4ca6,6.74,2013
5vr8,6.87,2017
5l7h,7.3,2016
1s89,5.24,2004
2bt9,6.19,2005
4qf8,7.51,2014
1os0,6.03,2003
1xh9,7.77,2005
6g3v,6.04,2018
2uwd,8.35,2007
2hxm,5.22,2006
2pq9,8.11,2008
4o2p,6.7,2015
6chp,10.12,2018
4xmb,7.36,2015
1fv0,5.93,2002
5k0h,7.09,2016
3ng4,5.43,2010
4h85,5.15,2013
5uv2,4.4,2017
3tvc,7.74,2012
6r9u,2.12,2019
6s4t,7.95,2019
1os5,6.85,2004
5js3,6.73,2016
8cpa,9.15,1994
3zbx,8.22,2013
2pov,7.12,2007
2bqv,8.05,2005
3ikd,6.75,2009
6rtw,6.43,2019
3l4x,6.89,2010
3ehx,7.6,2009
5dlx,5.7,2016
4zb8,6.03,2015
2rin,4.0,2008
5vp9,8.99,2017
3ekr,7.52,2008
1drv,6.54,1997
2a8g,3.69,2006
2hu6,3.81,2006
5fh7,6.86,2016
3t82,7.0,2011
5cap,7.28,2015
6u8o,6.54,2019
2hs1,8.48,2006
2c80,5.33,2006
6p85,4.99,2019
3s0b,6.49,2011
3wgg,4.4,2014
5ovx,4.5,2017
5uxf,7.06,2017
2b07,6.43,2005
2cgr,7.28,1994
4a95,5.76,2012
4uye,8.02,2014
4q6e,6.18,2014
2j27,3.52,2007
4pp3,7.82,2014
3v2q,6.29,2013
6mu3,6.15,2018
5jy3,7.92,2016
5dpx,4.46,2017
4ua8,6.26,2014
5o5a,4.77,2018
6p84,4.81,2019
3kdc,9.28,2010
3tay,3.38,2012
1b6h,7.82,1998
3n9s,5.26,2010
1q7a,7.19,2004
4p3h,6.0,2014
2oiq,5.0,2007
3juo,5.07,2009
4q1y,10.35,2015
3m96,7.22,2011
6pl1,7.65,2019
6k3l,7.22,2019
3f5k,4.62,2009
1gi1,5.47,2002
2ra0,7.8,2008
4ij1,5.4,2013
4kif,4.84,2014
5h85,4.7,2017
2qhy,7.48,2008
1a4r,6.66,1999
1hi4,4.49,2001
1h5v,3.93,2002
1hp5,6.55,2001
3umq,4.62,2012
4qy3,6.82,2014
1ogd,3.03,2003
2v2v,4.07,2007
4io7,3.68,2013
2wzm,5.22,2010
4gu9,4.37,2013
5ufs,8.49,2017
6c7q,9.15,2018
1b4h,5.46,1998
3vw1,4.67,2013
3dp9,9.68,2009
5lsg,5.4,2017
3liw,7.6,2010
6fsy,6.61,2018
5sz2,8.7,2016
4o0b,8.3,2014
2p3i,3.48,2008
1nfx,8.52,2003
6cjs,9.7,2019
5nxp,7.99,2018
2o4n,7.82,2006
4y4j,2.47,2016
5g5z,5.66,2017
4fs4,6.57,2012
5g46,2.6,2016
2o4l,9.22,2006
6dy7,4.18,2019
6hai,7.94,2018
5eqe,3.88,2016
3vd9,4.0,2012
3ppq,4.55,2011
6ugr,6.27,2019
5m23,8.9,2017
6equ,6.38,2017
4ql1,7.03,2014
6dsp,6.09,2019
6mqc,8.28,2019
3fjg,3.73,2009
2zc9,6.74,2008
2q2a,7.41,2008
3bex,5.57,2008
2ojj,8.7,2007
1onz,5.1,2003
5z7j,6.6,2018
4xir,6.94,2015
2mas,7.52,1997
3isj,3.68,2009
6no9,10.52,2019
6fmc,5.88,2018
1tlp,7.55,1989
2vo4,4.94,2008
1bnt,9.8,1999
2xn5,6.69,2011
5sz3,8.6,2016
2pwc,6.57,2008
2d0k,5.02,2006
4emr,7.49,2012
5l7e,6.6,2016
5c1w,5.06,2015
1hi5,4.04,2001
2pvl,7.62,2008
3f78,3.1,2009
4i72,9.05,2013
3tmk,6.87,1999
4aq6,4.8,2013
1qbo,7.74,2000
6md0,5.9,2019
1ft7,5.18,2000
4djo,11.52,2012
2wed,6.1,1998
5fhm,5.09,2016
6nw3,7.66,2019
2pqb,7.2,2008
5xsr,7.69,2018
6dz0,9.03,2019
3ttm,8.52,2012
2xjj,6.51,2010
6g3q,7.24,2018
3myq,7.52,2011
5hva,7.07,2016
3f19,7.19,2008
5lso,5.85,2016
5en3,6.21,2016
5i7y,7.28,2016
2vnt,8.0,2008
1hsl,7.19,1994
2tmn,5.89,1989
5gof,4.05,2017
2vvc,8.52,2009
1w0z,7.68,2008
1g54,8.82,2000
3dsz,7.77,2009
5u4d,6.33,2017
6eq1,4.61,2018
2xyf,8.44,2011
4bb9,6.0,2013
3rf4,6.25,2011
4hla,10.8,2013
5ei3,4.25,2016
1gfy,5.08,2000
6r9x,2.96,2019
6bm5,5.84,2018
4o6w,8.52,2014
1qb1,6.77,2000
5fsx,2.72,2016
1pzi,4.22,2004
3f8f,6.63,2008
3g1d,3.48,2009
2x09,3.76,2010
6qz5,6.08,2019
2yay,6.1,2011
5ymx,6.92,2018
6gfs,6.54,2018
3zt3,2.86,2012
3fuc,9.72,2009
3dx3,6.52,2009
4de5,3.15,2013
1sw2,7.22,2004
4mrg,2.96,2014
3ckb,2.98,2008
3bra,2.7,2008
1x8t,7.8,2005
2gj5,8.32,2007
3p8z,6.09,2010
6fni,8.22,2018
2clk,3.79,2007
2yfx,8.09,2011
2aoc,4.89,2006
4tte,3.69,2014
6c85,3.9,2019
4kz4,4.15,2014
5llh,10.17,2017
4xo8,8.96,2016
3pd8,6.46,2010
5ih9,8.7,2016
6b59,8.09,2018
3ta0,3.47,2011
2h21,6.54,2006
2e2p,4.74,2007
2uwo,8.7,2007
3t2w,7.46,2012
6gjr,3.74,2018
4n8q,3.42,2014
2fpz,3.96,2006
1zoe,7.4,2005
4mc9,9.44,2014
6dd0,5.48,2019
2yek,7.21,2011
1hvr,9.51,1995
4exs,4.41,2012
3su3,9.13,2012
4ks1,8.82,2013
1pb8,5.15,2003
5nvx,7.05,2017
4xiq,7.07,2015
5ldm,3.86,2017
6b98,4.65,2017
3t6b,6.36,2012
3k8o,11.07,2010
5kly,7.21,2017
3c2o,3.35,2008
6ecz,6.57,2018
6oqc,10.4,2019
4mn3,5.75,2014
3nuj,9.39,2010
6f9g,5.7,2018
2y5g,6.84,2011
6jav,5.76,2019
3mjl,2.44,2010
1fkb,9.7,1993
4tpw,4.69,2014
3qwc,4.26,2012
6hax,7.59,2019
1uj5,3.05,2004
1ela,6.36,1994
4ax9,9.57,2012
1ezq,9.05,2000
1o3d,7.13,2003
5ia5,7.6,2016
5hrx,5.29,2016
4pqa,5.55,2014
1epo,7.96,1994
4ozj,5.4,2014
1wc1,4.0,2004
4yb5,4.71,2016
1ceb,6.0,1996
5vb6,6.37,2017
5nk8,6.64,2017
3pn1,6.96,2011
3kdb,9.85,2010
2yk1,8.13,2011
4jss,3.3,2013
5j6a,7.77,2017
6np3,6.47,2019
2pbw,8.25,2007
4bt3,3.12,2013
3hll,8.24,2009
6pve,7.37,2019
1a69,5.3,1998
4del,7.68,2013
3zj6,6.66,2014
1zdp,5.74,2005
5e8f,8.64,2015
3hl5,4.47,2009
2ha6,4.32,2006
3wto,6.92,2015
4knm,8.0,2013
3aau,5.05,2010
5cbs,5.41,2015
3s5y,7.41,2012
3rt8,6.35,2011
4cl6,5.39,2015
1njc,5.55,1996
1hxb,9.92,1997
3t1a,8.37,2011
3e5u,5.85,2008
2ews,6.62,2006
3s8o,6.85,2011
3hky,7.1,2010
4io6,4.82,2013
2uz9,5.71,2007
6pgb,4.6,2019
6ghh,6.71,2018
4llk,3.0,2014
6jon,4.88,2019
3kku,5.7,2010
5exl,8.43,2016
4r4i,6.27,2014
5xvg,8.05,2018
3nu9,9.05,2010
4gki,4.46,2012
2qnn,7.15,2008
1swr,6.92,1999
3o8p,6.46,2010
2h4g,6.52,2006
5d3p,5.13,2016
4k7i,2.82,2014
4e4n,9.05,2012
2vba,4.6,2007
6gxg,5.24,2019
3tk2,4.62,2012
6g2r,9.46,2019
4djr,11.52,2012
3acl,6.22,2010
5cep,6.84,2015
1ttm,7.35,2004
4oc2,8.28,2014
4tz2,3.46,2014
1amk,4.3,1997
4l51,3.0,2013
3zm9,7.42,2013
3qto,4.13,2012
4ara,6.05,2012
6pg8,3.85,2019
6cpw,8.25,2018
1v1m,3.94,2004
5btv,3.85,2016
5za8,6.29,2018
5nw1,6.6,2017
3cd7,7.84,2008
4dsy,4.43,2012
5os4,2.78,2017
1f74,3.05,2000
1lan,7.22,1995
5efh,6.1,2016
2y81,8.7,2011
1jmf,5.77,1998
1q5k,7.42,2004
2whp,4.0,2009
2f94,6.71,2006
4ybk,7.82,2016
6cdj,11.7,2018
2rfh,6.82,2008
3rdq,9.31,2011
3qx5,4.2,2012
1c5p,4.68,2000
4oeu,7.66,2014
3ocp,7.57,2011
3s72,6.4,2011
5l9l,7.1,2016
5cs3,2.15,2015
1o5c,5.22,2004
4mo4,4.22,2014
3ucj,6.0,2011
5std,10.49,1999
3zll,6.4,2013
3dcc,8.96,2009
4dkr,6.52,2012
5j6l,7.89,2017
4dko,6.52,2012
4m6u,2.74,2014
5g45,3.3,2016
6ht1,7.11,2018
5f63,7.92,2017
1wvj,6.73,2005
3h78,4.24,2009
1ndw,5.23,2003
5oxk,2.17,2018
5znc,7.52,2019
3hs4,8.0,2009
2fw6,2.92,2006
4og3,6.55,2014
5ovc,5.96,2018
2ole,7.25,2008
1o3j,6.77,2003
2gh9,6.0,2007
5op4,6.71,2017
4wkb,11.57,2015
4i7l,3.99,2013
1upf,4.6,1999
1r1j,8.64,2004
1v2n,5.9,2004
6n3x,5.09,2019
1cet,2.89,1999
5ekm,6.32,2016
4uof,4.84,2014
1hdq,5.82,2001
4b2i,3.0,2013
